%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1660014322464443628,40529,1660014322464443628,imu,-0.00122,-0.002047,-0.076195,0.99709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000909159460656,0.000467294453929,0.00147834623632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024627,-0.026322,9.80881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660014322469385007,40530,1660014322469385007,imu,-0.001217,-0.002046,-0.076193,0.99709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00242597275369,0.000464344847493,0.000552152362161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036524,-0.036028,9.818184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660014322474358933,40531,1660014322474358933,imu,-0.001215,-0.002044,-0.076192,0.99709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00122595417319,-0.000125663706144,-0.000338157542574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012685,-0.028634,9.808867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660014322479466817,40532,1660014322479466817,imu,-0.001215,-0.002045,-0.076189,0.99709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00059328977263,-0.00107384872887,0.000250192948273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024545,-0.030997,9.796856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660014322484425587,40533,1660014322484425587,imu,-0.001218,-0.002047,-0.07619,0.99709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0021445558651,-0.00136170588241,-0.000340199577799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014911,-0.035592,9.782583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660014322489380027,40534,1660014322489380027,imu,-0.001223,-0.002046,-0.076187,0.99709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000616502651682,0.000180833563799,-0.000340618456819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038739,-0.050229,9.801371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660014322494495314,40535,1660014322494495314,imu,-0.001229,-0.002047,-0.076185,0.99709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00305526866879,-0.00135805814427,-2.82917871748e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043395,-0.052447,9.777494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660014322499486771,40536,1660014322499486771,imu,-0.001237,-0.002047,-0.076184,0.99709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00244148873074,-0.00043287656108,0.000278589455203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026835,-0.04293,9.79436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660014322504426823,40537,1660014322504426823,imu,-0.001239,-0.002048,-0.07618,0.997091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00243047570316,0.000135088484104,0.00298795131954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036509,-0.031153,9.806311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660014322509540085,40538,1660014322509540085,imu,-0.001236,-0.002051,-0.076177,0.997091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000630709631793,-0.0023032062941,-0.00035897932055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055659,-0.021724,9.806266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660014322514466518,40539,1660014322514466518,imu,-0.001239,-0.002056,-0.076178,0.997091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000318173522639,0.000195232530128,-0.00247632550261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029303,-0.02858,9.789699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660014322519416836,40540,1660014322519416836,imu,-0.001239,-0.00205,-0.076179,0.997091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00366164841081,0.00386958693789,0.000872647172705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014924,-0.038039,9.789711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660014322524354444,40541,1660014322524354444,imu,-0.001234,-0.002047,-0.07618,0.997091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000892194860327,-0.00137697751336,-0.000973509750177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055578,-0.028827,9.799058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660014322529489148,40542,1660014322529489148,imu,-0.001236,-0.002043,-0.07618,0.997091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00182886070999,0.00112737797703,-0.00123850309051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012784,-0.011881,9.80424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660014322534409504,40543,1660014322534409504,imu,-0.001239,-0.002041,-0.076177,0.997091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00121982806751,0.000803497227741,-2.65115513378e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015119,-0.028749,9.820765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660014322539445101,40544,1660014322539445101,imu,-0.001235,-0.002035,-0.076177,0.997091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000296880505764,0.00265820626396,0.000284872640511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00088,-0.014272,9.813828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660014322544540903,40545,1660014322544540903,imu,-0.001239,-0.00203,-0.076173,0.997091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00424792195984,0.0020561200319,0.00122550038758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024627,-0.026322,9.80881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660014322549491082,40546,1660014322549491082,imu,-0.001242,-0.00203,-0.07617,0.997091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00119464296641,-0.00232221292966,0.000541017161533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038895,-0.031168,9.806295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660014322554410041,40547,1660014322554410041,imu,-0.001239,-0.00203,-0.07617,0.997091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00212076702739,0.000786218468146,-0.000662195371499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019706,-0.030827,9.78021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660014322559359801,40548,1660014322559359801,imu,-0.001239,-0.00203,-0.076172,0.997091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0027514417526,-0.00136004781962,-3.06654349575e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027129,-0.016887,9.820787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660014322564503864,40549,1660014322564503864,imu,-0.001243,-0.002035,-0.076172,0.997091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00031700415204,-0.000439822971503,-0.000652351714518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048697,-0.002697,9.820766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660014322569452507,40550,1660014322569452507,imu,-0.001239,-0.002035,-0.076175,0.997091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00362770175686,-0.00108210413624,-0.00129739049947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041413,-0.009655,9.801692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660014322574412953,40551,1660014322574412953,imu,-0.001237,-0.002036,-0.076178,0.997091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000310302087712,0.000171810211566,0.000571281170763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038835,-0.021357,9.7754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660014322579497719,40552,1660014322579497719,imu,-0.001239,-0.002039,-0.076177,0.997091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00154123044927,-0.00198436954635,-0.00065430648328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055546,-0.026339,9.787165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660014322584437422,40553,1660014322584437422,imu,-0.001241,-0.002039,-0.07618,0.997091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000912824652086,0.00205524736727,-0.00154351683059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041155,-0.033351,9.780051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660014322589383271,40554,1660014322589383271,imu,-0.001241,-0.002038,-0.076178,0.997091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00301392181881,-0.00200728571943,-0.00160428919514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014909,-0.042855,9.794437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660014322594502121,40555,1660014322594502121,imu,-0.001235,-0.002041,-0.076177,0.997091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00484599393462,-0.00141465917191,0.000519340172223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031746,-0.028715,9.803978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660014322599490085,40556,1660014322599490085,imu,-0.001227,-0.002045,-0.076173,0.997091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00209034593853,-0.00480757923779,-9.39859802199e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019796,-0.033435,9.806399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660014322604444734,40557,1660014322604444734,imu,-0.001226,-0.002053,-0.076174,0.997091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012361992559,-0.00135831994366,-0.00156638064379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038885,-0.031148,9.803912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660014322609404272,40558,1660014322609404272,imu,-0.001231,-0.002056,-0.076169,0.997092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00243792825906,0.000188129040072,0.000283162217844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048515,-0.014435,9.79684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
